source,target,weight,community
Tanjiro,Sakonji,5,0
Tanjiro,Kazumi,25,0
Tanjiro,Satoko,6,0
Tanjiro,Nezuko,37,0
Tanjiro,Muzan,21,0
Tanjiro,Asakusa,5,0
Sakonji,Nezuko,5,2
Sakonji,Kazumi,5,2
Sakonji,Hanako,5,2
Nezuko,Kazumi,10,2
Nezuko,Takeo,6,2
Nezuko,Hanako,5,2
Nezuko,Asakusa,5,2
Kazumi,Satoko,14,1
Kazumi,Takeo,6,1
Takeo,Hanako,12,2
Muzan,Asakusa,5,0
