source,target,weight,community
Nezuko,Hanako,1,2
Nezuko,Takeo,3,2
Nezuko,Rokuta,5,2
Nezuko,Tanjiro,146,2
Nezuko,Saburo,5,2
Nezuko,Sakonji,17,2
Nezuko,Giyu,6,2
Nezuko,Sabito,6,2
Hanako,Shigeru,2,1
Shigeru,Takeo,2,1
Shigeru,Tanjiro,5,1
Rokuta,Tanjiro,9,2
Tanjiro,Saburo,11,2
Tanjiro,Giyu,12,2
Tanjiro,Sakonji,103,2
Tanjiro,Sabito,63,2
Tanjiro,Haganezuka,5,2
Tanjiro,Tanjuro,5,2
Tanjiro,Kasugai,6,2
Giyu,Sakonji,5,2
Sakonji,Sabito,6,2
Sakonji,Haganezuka,5,2
Haganezuka,Kie,5,0
Tanjuro,Kie,6,0
