member1,member2
209453152,210649524
209453152,635319
209453152,13273531
209453152,5579198
209453152,220297664
209453152,8079808
209453152,71424452
209453152,150907332
209453152,6603223
209453152,208253400
209453152,10553819
209453152,229693920
209453152,209660386
209453152,190761456
209453152,130988532
209453152,205535742
209453152,13687304
209453152,226310667
209453152,64455192
209453152,226128410
209453152,207583772
209453152,32809502
209453152,224336417
209453152,195951151
209453152,125274672
209453152,53516852
209453152,211006026
209453152,233859668
209453152,110832222
209453152,137261662
209453152,195301990
209453152,212243049
209453152,179884652
209453152,227414637
209453152,222288505
209453152,212054650
209453152,177009282
209453152,209447556
209453152,229831302
209453152,85715592
209453152,13582987
209453152,11416204
209453152,184586892
209453152,200790668
209453152,8473236
209453152,201800343
209453152,33198752
209453152,121705122
209453152,195574437
209453152,4602540
209453152,57041582
209453152,181531312
209453152,183556787
209453152,9702068
209453152,44927672
209453152,228682424
209453152,223312572
209453152,196725445
209453152,58950342
209453152,207563463
209453152,12229328
209453152,109826772
209453152,195654361
209453152,9745115
209453152,13501170
209453152,161561332
209453152,205257465
209453152,137411322
209453152,33628922
209453152,207788795
209453152,203281152
209453152,227480320
209453152,209216260
209453152,12757769
209453152,99924752
209453152,40221462
209453152,213568281
209453152,200735518
209453152,223910698
209453152,41954092
209453152,212038445
209453152,198380339
209453152,6765365
209453152,11221820
209453152,149975872
209453152,226437965
209453152,222712658
209453152,9278294
209453152,223738717
209453152,223646557
209453152,47618912
209453152,216267622
209453152,210561896
209453152,227869544
209453152,10234731
209453152,207401844
209453152,131523452
209453152,192033663
209453152,119628682
209453152,98198412
209453152,189633429
209453152,216955806
209453152,33659822
209453152,202787758
209453152,13702065
209453152,216421300
209453152,233675700
209453152,14390209
209453152,190026711
209453152,229188569
209453152,208350173
209453152,51485662
209453152,229692381
209453152,4088809
209453152,38591482
209453152,208176128
209453152,140274692
209453152,193248264
209453152,91626512
209453152,198188049
209453152,111592472
209453152,190147610
209453152,213568542
209453152,204524586
209453152,7726130
209453152,3380276
209453152,205704257
209453152,154920002
209453152,14160964
209453152,124310602
209453152,81970252
209453152,206296158
209453152,9340001
209453152,126323812
209453152,185422955
209453152,184792175
209453152,201774191
209453152,10083446
209453152,72379512
209453152,100099192
209453152,59892862
209453152,221385858
209453152,215876742
209453152,216034438
209453152,205677713
209453152,198067348
209453152,83029142
209453152,183223448
209453152,192965786
209453152,49743012
209453152,13667508
209453152,229717183
209453152,183297218
209453152,207287492
209453152,209407174
209453152,45178062
209453152,213200089
209453152,81196252
209453152,185591004
209453152,189574367
209453152,35218662
209453152,212577516
209453152,58756332
209453152,5985520
209453152,195757297
209453152,235689203
209453152,82238712
209453152,218975482
209453152,103496962
209453152,152786182
209453152,46486792
209453152,220902665
209453152,225555724
209453152,115037452
209453152,207265038
209453152,161041682
209453152,191966482
209453152,220867862
209453152,3710232
209453152,188527897
209453152,190717209
209453152,182574366
209453152,205874466
209453152,53695782
209453152,190055719
209453152,10716469
209453152,43871542
209453152,188671296
209453152,221259073
209453152,212770120
209453152,218062154
209453152,58619242
209453152,28245362
209453152,14173571
209453152,211363204
209453152,11462026
209453152,202597783
209453152,207420826
209453152,3614107
209453152,212108700
209453152,11742625
209453152,197066151
209453152,35235252
209453152,9831878
209453152,8979910
209453152,10743245
209453152,140103122
209453152,96869842
209453152,113362402
209453152,9999847
209453152,118484462
209453152,216780271
209453152,8809972
209453152,216927741
209453152,205954558
209453152,11107841
209453152,210818574
209453152,113655312
209453152,208352792
209453152,10055195
209453152,224165408
209453152,208188965
209453152,208389674
209453152,229418539
209453152,9043499
209453152,208125485
209453152,182763054
209453152,58682932
209453152,225949237
209453152,209432118
209453152,206624315
209453152,195288637
209453152,206282306
209453152,223348295
209453152,211621454
209453152,2573903
209453152,216186447
209453152,199104094
209453152,41473632
209453152,34633322
209453152,211377778
209453152,104091252
209453152,70403712
209453152,233387655
209453152,179019412
209453152,183015093
209453152,198399671
209453152,9475768
209453152,187025081
209453152,9422523
209453152,17319611
209453152,219764412
209453152,4720318
209453152,204097214
209453152,227530431
209453152,188589763
209453152,209360581
209453152,32671432
209453152,50452172
209453152,74272472
209453152,161847002
209453152,62662372
209453152,9455335
209453152,217476844
209453152,211400429
209453152,10514162
209453152,10878718
209453152,189431560
209453152,28294922
209453152,6055703
209453152,177731352
209453152,202919711
209453152,221724454
209453152,204318533
209453152,31901512
209453152,1726285
209453152,221830992
209453152,72367952
209453152,13614935
209453152,11173720
209453152,224483168
209453152,221437801
209453152,186247021
209453152,190076793
209453152,183119747
209453152,5166997
209453152,211611544
209453152,110905242
209453152,5838751
209453152,198309808
209453152,214323124
209453152,13260727
209453152,137230272
209453152,238696387
209453152,192419782
209453152,216092618
209453152,45002702
209453152,206280668
209453152,237311969
209453152,187496418
209453152,8869875
209453152,226897907
209453152,196614133
209453152,195569654
209453152,217679870
7559534,228655199
9745115,228655199
212038445,228655199
3380276,213745765
10055195,228655199
13614935,228655199
5838751,228655199
228655199,210011139
228655199,213008387
228655199,13018119
228655199,30936082
228655199,26706942
228655199,227805212
228655199,172136492
228655199,205502516
228655199,206590005
228655199,149104712
228655199,3834957
228655199,53054542
228655199,53452882
228655199,21489751
228655199,93765722
228655199,184029284
228655199,100333672
228655199,14631019
228655199,202105967
228655199,97593462
228655199,10575998
228655199,4695167
228655199,48947332
228655199,224332940
228655199,188179597
228655199,106513552
228655199,7631008
228655199,189350049
228655199,197068964
228655199,188534952
228655199,185881770
228655199,7599276
228655199,155052242
228655199,185407708
228655199,205196518
228655199,207298792
228655199,208853225
228655199,190211306
228655199,185439469
228655199,178011382
228655199,197934327
228655199,66358532
228655199,201497860
228655199,9611536
228655199,207293721
228655199,11778333
228655199,20531501
228655199,198499631
228655199,207854895
228655199,195896627
228655199,190896444
228655199,205576520
228655199,16136521
228655199,184530249
228655199,213226825
228655199,229030228
228655199,205933914
228655199,223569254
228655199,199930215
228655199,227770731
228655199,182531437
228655199,194629997
228655199,150039922
228655199,206922099
228655199,73959802
228655199,7227770
228655199,185576827
228655199,189671808
228655199,83808642
228655199,214078851
228655199,190044564
228655199,203912599
228655199,13587871
228655199,218064297
228655199,144590252
228655199,12098992
228655199,25185712
228655199,185471408
228655199,227981745
228655199,182997429
228655199,61238712
228655199,6779322
228655199,198894011
228655199,101674432
228655199,59738562
228655199,14621123
228655199,219462083
228655199,230279623
228655199,123283912
228655199,213028297
228655199,183783884
228655199,220831181
228655199,28045782
228655199,192668123
228655199,12394991
228655199,211479025
228655199,215293429
228655199,201647608
228655199,202684920
228655199,189837818
228655199,198733304
228655199,229115387
228655199,14105085
228655199,63998462
228655199,14607883
228655199,186378767
228655199,59475472
228655199,57803282
228655199,8403475
228655199,9124374
228655199,220768796
228655199,14415392
228655199,218470947
228655199,182751789
228655199,29493812
228655199,161786432
228655199,214146636
228655199,216018514
228655199,10596950
228655199,73895512
228655199,15298141
228655199,191098462
228655199,183423583
228655199,196945510
228655199,179364462
228655199,176407152
228655199,199012976
228655199,186662514
228655199,195203706
228655199,108678782
228655199,199842432
228655199,9795205
228655199,9246344
228655199,413321
228655199,226206347
228655199,226058893
228655199,7964302
228655199,198394510
228655199,158069392
228655199,13379218
228655199,136264352
228655199,7984807
228655199,209843887
228655199,224808631
228655199,13533889
228655199,186137286
228655199,216963792
228655199,164229842
228655199,183381715
228655199,60613332
228655199,193563349
228655199,209378020
228655199,6595301
228655199,214482662
228655199,185874155
228655199,228677357
228655199,228848370
228655199,173228792
228655199,30753532
228655199,119562002
228655199,166085402
228655199,13815593
228655199,13125423
228655199,6841143
228655199,196792121
228655199,105594682
228655199,112175942
228655199,106022732
228655199,189613918
228655199,11114354
228655199,224506741
228655199,93868922
228655199,137821062
228655199,233754508
228655199,189397906
228655199,91021212
228655199,74011552
228655199,201161632
228655199,221735839
228655199,226111392
228655199,234595237
228655199,6042535
228655199,4128698
228655199,130952122
228655199,230694847
228655199,232869824
228655199,19658701
228655199,121615312
228655199,224399317
228655199,214844397
228655199,11901946
228655199,111622142
198499631,213745765
213745765,197928971
213745765,11863051
213745765,184231948
213745765,92069902
213745765,183847951
213745765,105281552
213745765,205708300
213745765,209074193
213745765,201314326
213745765,200526872
213745765,221789220
213745765,220484652
213745765,210934831
213745765,35074102
213745765,24446012
213745765,225240127
213745765,10261574
213745765,195158087
213745765,185909326
213745765,201390176
213745765,227700839
213745765,198396008
213745765,211709033
213745765,215523433
213745765,12896366
213745765,210080880
213745765,212933746
213745765,13985911
213745765,205305981
213745765,198097027
213745765,207006853
213745765,194290824
213745765,192364686
213745765,236261522
213745765,19452051
213745765,13724820
213745765,219048088
213745765,221314205
213745765,212623518
213745765,214769824
213745765,214184103
213745765,160278702
213745765,76402872
213745765,187749564
213745765,192229571
213745765,201336011
213745765,216459467
213745765,207762638
213745765,202656982
213745765,219747546
213745765,213445859
213745765,197731563
213745765,230942958
213745765,4801776
213745765,233679088
213745765,201454843
213745765,185489661
213745765,217228541
213745765,195435788
213745765,231331086
213745765,54215962
213745765,215840029
213745765,222348578
213745765,15519011
213745765,6770985
213745765,219288875
213745765,185565488
213745765,205993266
213745765,203314488
213745765,3914044
213745765,222831936
213745765,215738689
213745765,231313741
213745765,217865556
213745765,32741722
213745765,216750436
213745765,206096745
213745765,187174255
213745765,213405039
213745765,195523953
213745765,207502711
213745765,211053955
213745765,3190152
213745765,220850569
213745765,55696782
213745765,227473810
213745765,229691807
213745765,231316897
213745765,217723299
213745765,191112612
213745765,128294312
213745765,182121902
213745765,87567792
213745765,210754994
213745765,224243134
